"Project ID","Project","Project Lead Agency","Project Lead Agency Bureau","Project Category","Project Status","Project Sector","Project Sector Type","Project Location Full Address","Project Location State","Project Location Street Address","Project Location County","Project Location City","Project Location Zipcode","Project Location Latlong","Project Location Latitude","Project Location Longitude"
"104446","St. Louis Lambert International Airport for West Airfield Program, Environmental Assessment","Department of Transportation","Federal Aviation Administration","DOT Projects","Complete","Aviation","Airport Development Projects (Aviation programs, commerce and safety, airport development and noise, financing, public airports)","10701 Lambert International Blvd., St. Louis, MO","MO","10701 Lambert International Blvd.","","St. Louis","","POINT (-90.3678659 38.7411716)","38.7411716","-90.3678659"
"104446","St. Louis Lambert International Airport for West Airfield Program, Environmental Assessment","Department of Transportation","Federal Aviation Administration","DOT Projects","Complete","Aviation","Airport Development Projects (Aviation programs, commerce and safety, airport development and noise, financing, public airports)","10701 Lambert International Blvd., St. Louis, MO","MO","10701 Lambert International Blvd.","","St. Louis","","POINT (-90.3678659 38.7411716)","38.7411716","-90.3678659"
"104446","St. Louis Lambert International Airport for West Airfield Program, Environmental Assessment","Department of Transportation","Federal Aviation Administration","DOT Projects","Complete","Aviation","Airport Development Projects (Aviation programs, commerce and safety, airport development and noise, financing, public airports)","10701 Lambert International Blvd., St. Louis, MO","MO","10701 Lambert International Blvd.","","St. Louis","","POINT (-90.3678659 38.7411716)","38.7411716","-90.3678659"
"104446","St. Louis Lambert International Airport for West Airfield Program, Environmental Assessment","Department of Transportation","Federal Aviation Administration","DOT Projects","Complete","Aviation","Airport Development Projects (Aviation programs, commerce and safety, airport development and noise, financing, public airports)","10701 Lambert International Blvd., St. Louis, MO","MO","10701 Lambert International Blvd.","","St. Louis","","POINT (-90.3678659 38.7411716)","38.7411716","-90.3678659"
"104446","St. Louis Lambert International Airport for West Airfield Program, Environmental Assessment","Department of Transportation","Federal Aviation Administration","DOT Projects","Complete","Aviation","Airport Development Projects (Aviation programs, commerce and safety, airport development and noise, financing, public airports)","10701 Lambert International Blvd., St. Louis, MO","MO","10701 Lambert International Blvd.","","St. Louis","","POINT (-90.3678659 38.7411716)","38.7411716","-90.3678659"
"104471","I-35 & Santa Fe Street Interchange Upgrade","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Olathe, KS, Johnson","KS","","Johnson","Olathe","","POINT (-94.8191285 38.8813958)","38.8813958","-94.8191285"
"104471","I-35 & Santa Fe Street Interchange Upgrade","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Olathe, KS, Johnson","KS","","Johnson","Olathe","","POINT (-94.8191285 38.8813958)","38.8813958","-94.8191285"
"104471","I-35 & Santa Fe Street Interchange Upgrade","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Olathe, KS, Johnson","KS","","Johnson","Olathe","","POINT (-94.8191285 38.8813958)","38.8813958","-94.8191285"
"104471","I-35 & Santa Fe Street Interchange Upgrade","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Olathe, KS, Johnson","KS","","Johnson","Olathe","","POINT (-94.8191285 38.8813958)","38.8813958","-94.8191285"
"104471","I-35 & Santa Fe Street Interchange Upgrade","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Olathe, KS, Johnson","KS","","Johnson","Olathe","","POINT (-94.8191285 38.8813958)","38.8813958","-94.8191285"
"104481","K-96 Improvements Project","Department of Transportation","Federal Highway Administration","DOT Projects","Planned","Surface Transportation","Surface Transportation","Wichita, KS, Sedgwick","KS","","Sedgwick","Wichita","","POINT (-97.3382202 37.693452)","37.693452","-97.3382202"
"104481","K-96 Improvements Project","Department of Transportation","Federal Highway Administration","DOT Projects","Planned","Surface Transportation","Surface Transportation","Wichita, KS, Sedgwick","KS","","Sedgwick","Wichita","","POINT (-97.3382202 37.693452)","37.693452","-97.3382202"
"104481","K-96 Improvements Project","Department of Transportation","Federal Highway Administration","DOT Projects","Planned","Surface Transportation","Surface Transportation","Wichita, KS, Sedgwick","KS","","Sedgwick","Wichita","","POINT (-97.3382202 37.693452)","37.693452","-97.3382202"
"104481","K-96 Improvements Project","Department of Transportation","Federal Highway Administration","DOT Projects","Planned","Surface Transportation","Surface Transportation","Wichita, KS, Sedgwick","KS","","Sedgwick","Wichita","","POINT (-97.3382202 37.693452)","37.693452","-97.3382202"
"104481","K-96 Improvements Project","Department of Transportation","Federal Highway Administration","DOT Projects","Planned","Surface Transportation","Surface Transportation","Wichita, KS, Sedgwick","KS","","Sedgwick","Wichita","","POINT (-97.3382202 37.693452)","37.693452","-97.3382202"
"104491","Centennial Bridge replacement","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Leavenworth, KS, Leavenworth","KS","","Leavenworth","Leavenworth","","POINT (-94.91025 39.329426)","39.329426","-94.91025"
"104491","Centennial Bridge replacement","Department of Transportation","Federal Highway Administration","DOT Projects","In Progress","Surface Transportation","Surface Transportation","Leavenworth, KS, Leavenworth","KS","","Leavenworth","Leavenworth","","POINT (-94.91025 39.329426)","39.329426","-94.91025"
